Prefecture,Latitude,Longitude,2020,Change_2020,2015,Change_2015,2010,Change_2010,2005,Change_2005,2000,Change_2000,1995,Change_1995,1990,Change_1990,1985,Change_1985,1980,Change_1980,1975,Change_1975,1970,Change_1970,1965,Change_1965,1960,Change_1960,1955,Change_1955,1950
Aichi-ken,34.9991645,137.254574,"7,542,415",0.77%,"7,484,094",0.98%,"7,410,719",2.11%,"7,254,704",2.91%,"7,043,300",2.48%,"6,868,336",2.59%,"6,690,603",3.52%,"6,455,172",3.62%,"6,221,638",4.79%,"5,923,569",9.07%,"5,386,163",10.91%,"4,798,653",12.34%,"4,206,313",10.39%,"3,769,209",10.05%,"3,390,585"
Akita-ken,39.6898802,140.342608,"959,502",-6.60%,"1,022,839",-6.17%,"1,085,997",-5.48%,"1,145,501",-3.82%,"1,189,279",-2.05%,"1,213,667",-1.14%,"1,227,478",-2.16%,"1,254,032",-0.22%,"1,256,745",1.93%,"1,232,481",-0.72%,"1,241,376",-3.10%,"1,279,835",-4.36%,"1,335,580",-1.00%,"1,348,871",2.95%,"1,309,031"
Aomori-ken,40.886943,140.590121,"1,237,984",-5.71%,"1,308,649",-4.94%,"1,373,339",-4.61%,"1,436,657",-2.72%,"1,475,728",-0.40%,"1,481,663",-0.08%,"1,482,873",-2.80%,"1,524,448",0.04%,"1,523,907",3.63%,"1,468,646",2.80%,"1,427,520",0.77%,"1,416,591",-0.71%,"1,426,606",3.09%,"1,382,523",7.21%,"1,282,867"
Chiba-ken,35.549399,140.2647303,"6,284,480",0.96%,"6,224,027",0.12%,"6,216,289",2.57%,"6,056,462",2.15%,"5,926,285",2.17%,"5,797,782",4.18%,"5,555,429",7.33%,"5,148,163",8.02%,"4,735,424",12.38%,"4,149,147",18.86%,"3,366,624",19.75%,"2,701,770",14.65%,"2,306,010",4.38%,"2,205,060",2.99%,"2,139,037"
Ehime-ken,33.6013646,132.8185275,"1,344,841",-3.05%,"1,385,840",-3.29%,"1,431,493",-2.54%,"1,467,815",-1.72%,"1,493,092",-0.91%,"1,506,700",-0.55%,"1,515,025",-0.99%,"1,529,983",1.53%,"1,506,637",2.75%,"1,465,215",3.21%,"1,418,124",-1.99%,"1,446,384",-3.75%,"1,500,687",-2.66%,"1,540,628",1.22%,"1,521,878"
Fukui-ken,35.9263502,136.6068127,"766,863",-2.64%,"787,099",-2.44%,"806,314",-1.89%,"821,592",-0.89%,"828,944",0.23%,"826,996",0.41%,"823,585",0.72%,"817,633",2.85%,"794,354",2.61%,"773,599",3.80%,"744,230",-0.85%,"750,557",-0.28%,"752,696",-0.18%,"754,055",0.22%,"752,374"
Fukuoka-ken,33.6251241,130.6180016,"5,135,214",0.63%,"5,102,871",0.61%,"5,071,968",0.43%,"5,049,908",0.68%,"5,015,699",1.64%,"4,933,393",2.48%,"4,811,050",1.91%,"4,719,259",3.51%,"4,553,461",5.72%,"4,292,963",6.19%,"4,027,416",1.56%,"3,964,611",-1.06%,"4,006,679",3.67%,"3,859,764",8.54%,"3,530,169"
Fukushima-ken,37.3662591,140.2511854,"1,833,152",-4.39%,"1,913,606",-6.03%,"2,029,064",-3.07%,"2,091,319",-1.70%,"2,126,935",-0.31%,"2,133,592",1.38%,"2,104,058",1.13%,"2,080,304",2.16%,"2,035,272",3.18%,"1,970,616",1.25%,"1,946,077",-1.94%,"1,983,754",-3.40%,"2,051,137",-2.15%,"2,095,237",1.57%,"2,062,394"
Gifu-ken,35.7867449,137.0460777,"1,978,742",-2.72%,"2,032,533",-2.37%,"2,080,773",-1.27%,"2,107,226",-0.02%,"2,107,700",0.35%,"2,100,315",1.61%,"2,066,569",1.84%,"2,028,536",3.37%,"1,960,107",4.70%,"1,867,978",5.84%,"1,758,954",3.33%,"1,700,365",3.64%,"1,638,399",3.34%,"1,583,605",2.47%,"1,544,538"
Gunma-ken,36.52198,139.033483,"1,939,110",-1.77%,"1,973,476",-1.75%,"2,008,068",-0.80%,"2,024,135",-0.04%,"2,024,852",1.05%,"2,003,540",1.86%,"1,966,265",2.29%,"1,921,259",3.78%,"1,848,562",4.98%,"1,756,480",5.55%,"1,658,909",3.21%,"1,605,584",1.69%,"1,578,476",-2.22%,"1,613,549",0.75%,"1,601,380"
Hiroshima-ken,34.5666725,132.753565,"2,799,702",-1.62%,"2,844,963",-0.55%,"2,860,750",-0.56%,"2,876,642",-0.08%,"2,878,915",-0.10%,"2,881,748",1.11%,"2,849,847",1.08%,"2,819,200",2.84%,"2,739,161",3.39%,"2,646,324",7.94%,"2,436,135",6.36%,"2,281,146",4.26%,"2,184,043",1.60%,"2,149,044",3.12%,"2,081,967"
Hokkaid?,43.4519831,142.8197834,"5,224,614",-3.04%,"5,383,579",-2.28%,"5,506,419",-2.20%,"5,627,737",-0.98%,"5,683,062",-0.16%,"5,692,321",0.86%,"5,643,647",-0.63%,"5,679,439",1.82%,"5,575,989",4.26%,"5,338,206",2.88%,"5,184,287",0.24%,"5,171,800",2.56%,"5,039,206",5.28%,"4,773,087",10.00%,"4,295,567"
Hy?go-ken,34.914934,134.860666,"5,465,002",-1.32%,"5,536,989",-0.92%,"5,588,133",-0.04%,"5,590,601",0.72%,"5,550,574",2.68%,"5,401,877",-0.06%,"5,405,040",2.35%,"5,278,050",2.52%,"5,144,892",2.97%,"4,992,140",6.49%,"4,667,928",7.67%,"4,309,944",9.36%,"3,906,487",7.31%,"3,620,947",8.59%,"3,309,935"
Ibaraki-ken,36.2869536,140.4703384,"2,867,009",-1.77%,"2,917,857",-1.78%,"2,969,770",-0.18%,"2,975,167",-0.35%,"2,985,676",1.01%,"2,955,530",3.73%,"2,845,382",4.23%,"2,725,005",6.13%,"2,558,007",8.44%,"2,342,198",8.48%,"2,143,551",4.08%,"2,056,154",0.44%,"2,047,024",-0.83%,"2,064,037",1.19%,"2,039,418"
Ishikawa-ken,36.9890574,136.8162839,"1,132,852",-1.90%,"1,154,343",-1.34%,"1,169,788",-0.36%,"1,174,026",-0.59%,"1,180,977",0.08%,"1,180,068",1.31%,"1,164,628",1.06%,"1,152,325",2.87%,"1,119,304",4.42%,"1,069,872",6.30%,"1,002,420",2.19%,"980,499",0.72%,"973,418",0.74%,"966,187",0.92%,"957,279"
Iwate-ken,39.5713763,141.4253574,"1,210,534",-5.72%,"1,279,814",-3.93%,"1,330,147",-4.13%,"1,385,041",-2.25%,"1,416,180",-0.23%,"1,419,505",0.18%,"1,416,928",-1.18%,"1,433,611",0.82%,"1,421,927",2.56%,"1,385,563",1.02%,"1,371,383",-2.90%,"1,411,118",-2.65%,"1,448,517",1.48%,"1,427,097",5.63%,"1,346,728"
Japan - Total,34.2480104,134.0586579,"126,146,099",-0.76%,"127,110,047",-0.75%,"128,057,352",0.23%,"127,767,994",0.66%,"126,925,843",1.07%,"125,570,246",1.56%,"123,611,167",2.07%,"121,048,923",3.29%,"117,060,396",4.37%,"111,939,643",7.34%,"103,720,060",5.25%,"98,274,961",4.94%,"93,418,501",4.43%,"89,275,529",6.81%,"83,199,637"
Kagawa-ken,36.5748441,139.2394179,"950,244",-2.79%,"976,756",-1.95%,"995,842",-1.66%,"1,012,400",-1.04%,"1,022,890",-0.40%,"1,027,006",0.35%,"1,023,412",0.08%,"1,022,569",2.22%,"999,864",3.86%,"961,292",5.55%,"907,897",0.78%,"900,845",-2.00%,"918,867",-2.72%,"943,823",-0.23%,"946,022"
Kagoshima-ken,31.521587,130.5474077,"1,588,256",-3.81%,"1,648,752",-3.49%,"1,706,242",-2.75%,"1,753,179",-1.88%,"1,786,194",-0.45%,"1,794,224",-0.20%,"1,797,824",-1.19%,"1,819,270",1.90%,"1,784,623",3.40%,"1,723,902",-0.30%,"1,729,150",-7.19%,"1,853,541",-5.91%,"1,963,104",-4.13%,"2,044,112",11.74%,"1,804,118"
Kanagawa-ken,35.4342935,139.374753,"9,237,337",1.19%,"9,127,323",0.87%,"9,048,331",2.84%,"8,791,597",3.43%,"8,489,974",2.87%,"8,245,900",3.22%,"7,980,391",6.87%,"7,431,974",6.83%,"6,924,348",7.61%,"6,397,748",14.47%,"5,472,247",19.03%,"4,430,743",22.29%,"3,443,176",15.21%,"2,919,497",14.79%,"2,487,665"
K?chi-ken,33.6569018,133.5606241,"691,527",-5.34%,"728,461",-4.94%,"764,456",-4.16%,"796,292",-2.22%,"813,949",-0.34%,"816,704",-1.02%,"825,034",-1.79%,"839,784",1.01%,"831,275",2.75%,"808,397",2.66%,"786,882",-3.28%,"812,714",-5.15%,"854,595",-3.29%,"882,683",1.00%,"873,874"
Kumamoto-ken,32.6450475,130.6341345,"1,738,301",-2.80%,"1,786,969",-1.70%,"1,817,426",-1.36%,"1,842,233",-0.93%,"1,859,344",-0.02%,"1,859,793",1.05%,"1,840,326",0.14%,"1,837,747",2.58%,"1,790,327",4.19%,"1,715,273",0.88%,"1,700,229",-4.15%,"1,770,736",-4.83%,"1,856,192",-2.13%,"1,895,663",3.59%,"1,827,582"
Ky?to-fu,35.242552,135.454601,"2,578,087",-1.24%,"2,610,140",-0.99%,"2,636,092",-0.44%,"2,647,660",0.12%,"2,644,391",0.56%,"2,629,592",1.03%,"2,602,460",0.61%,"2,586,574",2.29%,"2,527,330",4.05%,"2,424,856",7.21%,"2,250,087",6.55%,"2,102,808",5.20%,"1,993,403",2.92%,"1,935,161",5.28%,"1,832,934"
Mie-ken,34.7339685,136.5154489,"1,770,254",-2.57%,"1,815,827",-2.14%,"1,854,724",-0.66%,"1,866,963",0.52%,"1,857,339",0.86%,"1,841,358",2.65%,"1,792,514",2.52%,"1,747,311",3.46%,"1,686,936",3.61%,"1,626,002",5.10%,"1,543,083",1.85%,"1,514,467",1.94%,"1,485,054",-0.04%,"1,485,582",1.64%,"1,461,197"
Miyagi-ken,38.3880155,140.9761025,"2,301,996",-1.40%,"2,334,215",-0.60%,"2,348,165",-0.51%,"2,360,218",-0.22%,"2,365,320",1.55%,"2,328,739",3.44%,"2,248,558",3.21%,"2,176,295",4.32%,"2,082,320",6.10%,"1,955,267",6.96%,"1,819,223",3.63%,"1,753,126",0.57%,"1,743,195",0.93%,"1,727,065",3.68%,"1,663,442"
Miyazaki-ken,32.097681,131.294542,"1,069,576",-3.25%,"1,104,377",-2.79%,"1,135,233",-1.57%,"1,153,042",-1.47%,"1,170,007",-0.50%,"1,175,819",0.59%,"1,168,907",-0.57%,"1,175,543",2.04%,"1,151,587",5.78%,"1,085,055",3.13%,"1,051,105",-2.81%,"1,080,692",-4.99%,"1,134,590",-0.42%,"1,139,384",4.21%,"1,091,427"
Nagano-ken,36.1143945,138.0319015,"2,048,011",-2.53%,"2,099,759",-2.51%,"2,152,449",-2.03%,"2,196,114",-0.87%,"2,215,168",0.96%,"2,193,984",1.70%,"2,156,627",0.91%,"2,136,927",2.48%,"2,083,934",3.18%,"2,017,564",3.01%,"1,956,917",-0.06%,"1,958,007",-1.20%,"1,981,433",-2.01%,"2,021,292",-1.96%,"2,060,831"
Nagasaki-ken,33.1154683,129.7874339,"1,312,317",-4.99%,"1,377,780",-3.56%,"1,426,779",-3.63%,"1,478,632",-2.56%,"1,516,523",-1.87%,"1,544,934",-1.17%,"1,562,959",-1.98%,"1,593,968",0.21%,"1,590,564",1.17%,"1,571,912",0.11%,"1,570,245",-4.52%,"1,641,245",-7.26%,"1,760,421",0.73%,"1,747,596",5.84%,"1,645,492"
Nara-ken,34.2963089,135.8816819,"1,324,473",-3.06%,"1,365,008",-2.62%,"1,400,728",-1.47%,"1,421,310",-1.51%,"1,442,795",0.83%,"1,430,862",3.87%,"1,375,481",5.13%,"1,304,866",7.32%,"1,209,365",10.90%,"1,077,491",13.67%,"930,160",11.20%,"825,965",5.44%,"781,058",0.54%,"776,861",1.67%,"763,883"
Niigata-ken,37.6452283,138.7669125,"2,201,272",-4.72%,"2,305,098",-3.01%,"2,374,450",-2.40%,"2,431,459",-1.82%,"2,475,733",-0.51%,"2,488,364",0.55%,"2,474,583",-0.16%,"2,478,470",1.09%,"2,451,357",2.42%,"2,391,938",1.29%,"2,360,982",-1.61%,"2,398,931",-1.80%,"2,442,037",-1.29%,"2,473,492",0.51%,"2,460,997"
?ita-ken,33.1819875,131.4270217,"1,123,852",-3.82%,"1,166,729",-2.55%,"1,196,529",-1.09%,"1,209,571",-0.96%,"1,221,140",-0.83%,"1,231,306",-0.46%,"1,236,942",-1.07%,"1,250,214",1.70%,"1,228,913",3.14%,"1,190,314",2.92%,"1,155,566",-2.76%,"1,187,480",-4.39%,"1,239,655",-3.03%,"1,277,199",1.89%,"1,252,999"
