gns_name,density_2020,density_2015,density_2010,density_2005,density_2000,density_1995,density_1990,density_1985,density_1980,density_1975,density_1970,density_1965,density_1960,density_1955,density_1950
Aichi-ken,1458.181569,1446.90632,1432.720668,1402.558154,1361.687237,1327.861297,1293.500023,1247.983946,1202.834617,1145.208681,1041.311518,927.7277051,813.2101042,728.7044126,655.5047095
Akita-ken,82.44886806,87.8913413,93.31843328,98.43154137,102.193333,104.2889648,105.4757277,107.7574814,107.9906063,105.9056295,106.6699663,109.9747026,114.7648042,115.9068841,112.4834802
Aomori-ken,130.7878326,138.2532943,145.0875223,151.7768042,155.904492,156.5314999,156.6593313,161.0515562,160.9944018,155.1563083,150.8115184,149.6569152,150.7149581,146.0577735,135.5295338
Chiba-ken,1218.477407,1206.756372,1205.256076,1174.267738,1149.028143,1124.113114,1077.124078,998.1605964,918.1359728,804.4646302,652.7437884,523.8374066,447.1047861,427.5319186,414.7309337
Ehime-ken,236.9300454,244.153126,252.1961343,258.5952351,263.048461,265.4458775,266.912551,269.5478065,265.4347784,258.1371749,249.8408241,254.8195859,264.3865253,271.4232106,268.119892
Fukui-ken,183.0007947,187.8298242,192.4152068,196.0610812,197.8155299,197.3506678,196.5366819,195.1163229,189.5611253,184.6082439,177.5997556,179.1096029,179.6200444,179.9443502,179.5432038
Fukuoka-ken,1029.905939,1023.419306,1017.221476,1012.797176,1005.936303,989.4292132,964.8924009,946.4830228,913.2309821,860.9861415,807.7286857,795.1326688,803.5697238,774.1048114,708.0020457
Fukushima-ken,132.9938028,138.8306802,147.2070715,151.7236251,154.3075392,154.7904995,152.64783,150.9244951,147.6574573,142.966713,141.1864269,143.919865,148.8084511,152.007873,149.625138
Gifu-ken,186.2995926,191.3640434,195.9058645,198.3964283,198.4410557,197.745754,194.5685505,190.9877237,184.5450976,175.8711042,165.6064376,160.0902527,154.2561214,149.0972377,145.4190593
Gunma-ken,304.7822479,310.1837706,315.6208152,318.1461677,318.2588632,314.9091206,309.0503719,301.9764927,290.550243,276.0771296,260.7412751,252.3598458,248.0991091,253.6117555,251.6990764
Hiroshima-ken,330.1749524,335.5126807,337.3744759,339.2486541,339.5167139,339.8508158,336.0886614,332.474394,323.0352204,312.0867509,287.2987045,269.0205143,257.5689461,253.4414378,245.5309012
Hokkaido,62.62699685,64.53249658,66.00496906,67.45919744,68.12237344,68.23336028,67.64990924,68.07894485,66.83889864,63.98861435,62.14360059,61.99392,60.40452717,57.2145817,51.49059069
Hyogo-ken,650.5211309,659.0900326,665.1779082,665.4716842,660.7071097,643.0071087,643.3836133,628.2674837,612.4171523,594.2344684,555.6422123,513.0299394,465.0048328,431.0158601,393.994853
Ibaraki-ken,470.2281099,478.5678671,487.0822987,487.9674794,489.691097,484.7467468,466.6809905,446.9375404,419.547618,384.1520339,351.5712491,337.2369634,335.7395204,338.5298816,334.4920339
Ishikawa-ken,270.6229441,275.7568519,279.4464524,280.458853,282.1193524,281.9022047,278.2137986,275.2747791,267.386511,255.5778782,239.4645122,234.2278833,232.5363287,230.808941,228.6809409
Iwate-ken,79.24930982,83.7848224,87.07994299,90.67365586,92.71221426,92.92989006,92.76118314,93.85335918,93.0884497,90.70782932,89.77951569,92.38082332,94.82920142,93.42691101,88.16544146
Kagawa-ken,506.3323245,520.4590989,530.6289697,539.4518095,545.0413487,547.2345369,545.3194936,544.8703056,532.7720704,512.2191909,483.7679569,480.0103372,489.6132614,502.9109297,504.0826548
Kagoshima-ken,172.8819389,179.4669389,185.7247353,190.8338359,194.4275243,195.3015912,195.6934518,198.0278526,194.2565207,187.6470294,188.2182751,201.7582568,213.6842082,222.501943,196.3785548
Kanagawa-ken,3823.670126,3778.131325,3745.43366,3639.16211,3514.309368,3413.278252,3303.37441,3076.364645,2866.23976,2648.260846,2265.162284,1834.045856,1425.255916,1208.48611,1029.735122
Kochi-ken,97.34428689,102.5433809,107.6102946,112.0917577,114.5772833,114.9650968,116.1376872,118.2140027,117.016215,113.795744,110.7671388,114.4034358,120.298905,124.2527728,123.0127549
Kumamoto-ken,234.6091088,241.1775662,245.2881832,248.6362501,250.9456295,251.0062286,248.3788726,248.0307989,241.6307773,231.5011438,229.4707363,238.9866857,250.5202211,255.847409,246.6588837
Kyoto-fu,558.9724187,565.9220457,571.5488737,574.0570098,573.3482359,570.1395649,564.2568931,560.8125424,547.9674515,525.7493729,487.856528,455.9239754,432.2031399,419.5752994,397.4107745
